1, junk, ., +, t, /, 1, (, i, Y, d
134, junk, \sin, 0, \tan, ., o, \ldots, a, \lim, -
135, junk, ., t, -, \tan, 1, +, T, 0, \prime
136, h, \lim, e, junk, l, ., k, b, x, c
137, junk, ., t, COMMA, !, -, +, \}, l, \prime
138, junk, ., a, r, x, +, c, 0, 1, 2
139, junk, ., 0, \beta, a, A, r, \alpha, l, 1
140, i, junk, ., =, 1, \div, t, +, (, I
141, junk, g, 3, ., 2, +, q, i, 1, a
142, junk, ., c, a, 0, 2, C, +, 1, L
143, junk, i, 1, ., 0, [, \div, l, (, COMMA
144, c, junk, C, ., a, (, x, 0, \sum, 2
145, junk, ., 1, n, /, \prime, 0, c, a, \tan
146, junk, ., 1, (, +, 0, \prime, /, COMMA, s
147, junk, ., -, \ldots, 1, /, \prime, |, (, n
148, junk, Y, ., /, 1, y, +, x, H, \times
149, junk, \ldots, \tan, ., -, v, i, +, c, COMMA
150, junk, ., -, t, COMMA, 6, n, (, +, \prime
151, junk, 1, |, COMMA, \prime, ), ., l, +, !
152, junk, ., o, -, COMMA, 0, \ldots, u, C, \prime
153, junk, ., -, t, R, +, COMMA, 7, \rightarrow, !
154, junk, ., \prime, COMMA, -, +, T, |, 0, r
155, junk, 1, |, COMMA, \prime, l, +, ., (, /
156, junk, r, \rightarrow, ., 1, COMMA, y, 5, 7, \div
157, junk, 0, ., 2, -, COMMA, 1, 7, L, c
158, junk, a, ., \sin, +, 0, 1, n, L, v
159, F, junk, E, t, 1, H, l, I, f, \in
160, a, junk, 2, ., c, r, -, 1, 0, n
161, junk, 2, 0, ., -, 7, COMMA, 1, t, l
162, junk, a, 2, ., c, -, 1, 0, r, z
163, junk, u, ., r, \mu, o, -, L, m, 4
164, junk, \ldots, x, ., 1, \tan, +, -, \times, =
165, junk, ., \prime, +, /, j, 1, v, s, 0
166, junk, ., \cos, \tan, m, x, n, o, \mu, -
167, junk, \prime, ., N, |, 1, /, -, n, !
168, junk, +, T, ., a, \pi, \sin, \mu, x, o
169, -, junk, t, ., =, v, T, u, i, COMMA
170, -, junk, ., =, T, COMMA, i, m, 0, \ldots
171, junk, \ldots, ., L, \mu, o, 1, n, +, c
172, junk, \cos, ., \tan, =, \infty, +, \lim, \alpha, c
173, junk, v, ., 0, a, c, u, t, n, \leq
174, -, junk, =, ., T, \ldots, i, COMMA, m, \div
175, junk, ., \cos, \tan, o, 0, \sin, v, a, +
176, junk, ., +, x, -, 4, 1, COMMA, \times, (
177, junk, \ldots, \cos, \tan, ., \sin, (, -, 0, c
178, junk, ., =, c, x, COMMA, 0, \sin, o, a
179, junk, ., \sin, \ldots, 0, -, \lim, \sqrt, (, COMMA
180, junk, ., -, \ldots, \sin, +, \tan, (, \lim, T
181, -, junk, =, ., T, \ldots, i, \div, COMMA, 2
182, junk, ., 2, 0, c, a, -, !, E, z
183, junk, \mu, ., +, 1, t, \neq, (, \gamma, \prime
184, -, junk, ., =, T, i, t, COMMA, \ldots, \div
185, junk, ., -, v, L, COMMA, \sqrt, u, \ldots, r
186, \neq, junk, ., +, d, 1, \prime, a, -, 3
187, junk, n, 1, -, COMMA, m, l, x, p, +
188, x, \times, junk, n, v, ., 1, \mu, \prime, \gamma
189, j, i, junk, p, 3, +, ., \{, ), x
190, junk, ., a, 0, v, c, n, (, L, \prime
191, I, junk, T, ., (, 1, t, COMMA, 0, \pm
192, junk, ., \int, (, 1, 0, /, +, \forall, \prime
193, junk, ., -, COMMA, \ldots, L, u, =, n, m
194, junk, \tan, ., \sin, -, =, T, m, n, t
195, -, junk, ., =, T, t, i, \ldots, COMMA, \div
196, junk, ., n, \prime, COMMA, \sin, -, m, L, 0
197, -, junk, =, ., T, \ldots, i, COMMA, \div, 2
198, junk, =, ., \leq, -, \prime, \div, +, n, t
199, junk, \sin, ., 0, -, o, COMMA, \prime, \lim, +
200, -, junk, ., =, T, t, COMMA, i, \div, \ldots
201, junk, ., n, 1, x, r, \times, \prime, m, \div
202, junk, ., -, 2, +, 1, \prime, \lim, n, a
203, junk, ., \ldots, \prime, -, (, 1, +, L, \sqrt
204, junk, ., 0, o, -, \sqrt, \sin, COMMA, \ldots, c
205, \ldots, junk, ., \cos, \sin, 0, a, 1, o, =
206, junk, 1, |, COMMA, l, \prime, +, (, /, .
207, junk, ., +, 1, COMMA, x, t, H, \forall, \times
208, -, junk, ., =, T, t, i, COMMA, \div, \ldots
209, junk, ., \tan, \ldots, n, 1, m, \prime, \rightarrow, 0
210, junk, ., m, -, \sin, \cos, n, \tan, L, +
211, junk, ., n, -, (, \tan, L, \ldots, \prime, 7
212, junk, ., -, COMMA, =, \div, 1, \prime, /, T
213, junk, ., 6, H, 1, COMMA, c, G, \ldots, \div
214, junk, ., 0, c, 2, C, l, (, 6, 1
215, junk, ., a, r, x, +, c, 0, 1, 2
216, junk, 1, |, COMMA, \prime, l, +, ., (, /
217, -, junk, ., =, i, t, COMMA, c, C, v
218, -, junk, =, ., t, T, \ldots, \sigma, COMMA, v
219, t, +, junk, i, 2, 1, -, 7, \pi, T
220, =, junk, -, \pm, ., \div, I, C, c, 1
221, junk, -, COMMA, ., =, \div, \lt, C, G, c
222, =, junk, -, \div, \pm, C, c, \geq, ., I
223, junk, f, F, T, -, ., I, 1, r, \prime
224, junk, +, ., l, 1, -, (, n, \mu, 4
225, junk, ., \tan, x, n, -, 2, m, \log, \sin
226, junk, ., k, 1, COMMA, +, c, -, p, 0
227, junk, u, ., x, r, v, (, c, COMMA, L
228, junk, COMMA, ., 1, +, /, c, s, x, -
229, r, n, junk, \pi, x, a, ., 1, p, \log
230, junk, (, ., COMMA, +, \sin, -, x, T, 0
231, junk, ., COMMA, (, +, \sin, 1, i, \tan, \prime
232, junk, i, ., +, 0, 1, j, t, ), \prime
233, junk, r, c, ., (, COMMA, L, u, v, C
234, junk, i, ., +, (, k, 1, j, \prime, 3
235, junk, ., =, s, 0, \rightarrow, COMMA, v, -, 1
236, junk, ., 1, \prime, -, n, /, COMMA, (, 0
237, junk, H, ., h, 1, \rightarrow, t, 0, Y, A
238, junk, 3, =, \pi, T, \div, ., x, P, 7
239, junk, ., 5, -, \lt, x, =, F, f, +
240, junk, ., s, 1, \div, 7, S, 2, 5, \pm
241, junk, 1, |, COMMA, +, l, \prime, d, (, i
242, junk, 1, |, ), COMMA, \prime, ., +, l, /
243, -, junk, =, ., \ldots, T, m, COMMA, 2, i
244, junk, \div, +, \pi, r, 7, COMMA, ., n, \beta
245, junk, ., \pi, r, c, 5, y, \sum, 1, t
246, junk, t, \tan, ., c, a, +, 1, k, \Delta
247, junk, =, 2, \leq, ., C, 1, T, -, 0
248, junk, \tan, ., T, +, 1, -, COMMA, (, \prime
249, junk, ., v, o, 0, COMMA, -, \gamma, r, s
250, junk, ., +, o, 1, -, \mu, T, 0, 7
251, junk, f, 1, g, 8, ., 9, F, r, -
252, junk, 1, ., \sqrt, y, +, n, r, \rightarrow, x
253, -, junk, =, ., T, \ldots, COMMA, 2, i, \div
254, junk, ., p, 1, COMMA, -, r, L, +, n
255, junk, \rightarrow, ., \tan, -, (, T, +, \prime, COMMA
256, junk, ., 0, t, COMMA, \prime, 1, -, f, s
257, junk, 0, \pi, v, 2, ., =, c, a, o
258, junk, ., x, c, a, \pi, =, +, m, 1
259, junk, ., -, L, c, \sin, COMMA, +, (, r
260, junk, ., 2, \sin, COMMA, 1, \prime, a, e, -
261, junk, ., -, \prime, 6, 7, \ldots, 1, 0, COMMA
262, junk, ., 0, o, \prime, \infty, +, COMMA, v, 1
263, junk, ., L, COMMA, 1, c, \prime, 0, u, (
264, junk, L, ., 2, COMMA, 1, +, -, \alpha, l
265, junk, ., COMMA, +, t, r, x, 1, ), L
266, junk, l, ., 2, 1, z, COMMA, t, \div, G
267, junk, ., a, \sin, +, x, 0, \times, 2, n
268, -, junk, \ldots, ., =, 2, m, COMMA, \leq, 0
269, junk, ., \rightarrow, \lim, COMMA, \log, \prime, \sin, \tan, =
270, junk, ., \sin, -, T, \sqrt, \prime, 0, COMMA, o
271, -, junk, =, ., \ldots, T, COMMA, 2, i, m
272, junk, ., 1, \prime, +, a, \geq, (, x, /
273, junk, t, ., +, -, 1, T, n, 0, 7
274, junk, \beta, a, ., p, 0, v, +, R, t
275, junk, ., r, +, \sqrt, 1, ), x, 0, c
276, junk, ., -, COMMA, \ldots, \tan, \prime, =, 1, (
277, +, junk, x, ., -, 1, \times, z, 2, \neq
278, junk, n, h, ., G, H, k, \mu, a, \Delta
279, junk, ., COMMA, H, \lambda, c, s, a, \gamma, x
280, junk, o, ., c, 0, r, 1, =, -, e
281, junk, ., -, \prime, n, \sin, COMMA, /, 6, +
282, junk, \ldots, ., -, +, (, 2, \prime, T, 7
283, junk, a, n, ., \Delta, 0, 1, -, o, \sin
284, -, junk, ., =, i, COMMA, T, \div, c, t
285, junk, ., c, 1, t, C, a, COMMA, 2, z
286, junk, ., (, COMMA, c, +, \prime, 1, L, -
287, junk, ., COMMA, 0, \sin, c, -, \ldots, C, o
288, -, junk, =, \ldots, ., T, m, COMMA, 2, i
289, -, junk, =, ., T, \ldots, COMMA, i, 2, m
290, junk, ., a, +, \pi, COMMA, c, 1, r, (
291, junk, ., \div, -, +, 2, 4, 1, !, COMMA
292, junk, ., N, o, \mu, 0, COMMA, a, \tan, 1
293, junk, ., j, (, -, i, COMMA, \prime, +, k
294, junk, ., 0, \tan, a, c, o, 1, C, +
295, junk, ., COMMA, a, V, r, 2, \sum, \alpha, c
296, junk, ., \sqrt, 0, -, COMMA, n, o, r, m
297, junk, ., n, x, 1, a, 2, =, l, -
298, junk, ., -, B, 2, \beta, p, t, 1, COMMA
299, junk, +, ., t, 2, -, \div, \alpha, (, G
300, junk, 1, ., 3, COMMA, g, 9, /, +, \div
301, junk, -, ., T, +, 1, n, 4, \prime, )
302, junk, \tan, ., 1, 0, c, +, \prime, 2, G
303, junk, ., \tan, o, \sin, -, m, \mu, \cos, x
304, junk, l, ., 2, G, c, (, f, +, \in
305, junk, ., +, -, \prime, a, 1, T, COMMA, 7
306, 4, q, junk, \div, Y, x, +, ., i, G
307, x, G, junk, 1, 2, a, q, \div, C, .
308, junk, x, 1, l, L, ., z, 6, COMMA, 2
309, junk, ., \prime, 2, a, +, i, 1, \lambda, \tan
310, junk, 4, \neq, ., COMMA, +, \div, 1, i, 9
311, junk, ., +, k, \times, 2, 6, 1, i, x
312, 4, junk, \div, \mu, ., u, i, n, COMMA, 1
313, junk, (, ., 1, l, /, +, x, k, \prime
314, junk, \tan, \sin, ., +, \sigma, \lim, \cos, \pi, (
315, junk, COMMA, /, ., -, r, (, 1, 2, x
316, junk, =, T, I, -, ., 5, F, s, 0
317, L, junk, ., l, i, 2, 1, t, +, x
318, -, junk, ., =, t, u, v, i, o, T
319, junk, ., +, 1, COMMA, -, L, (, /, t
320, junk, =, ., 0, C, (, s, \lt, -, S
321, -, junk, ., =, t, T, v, u, i, COMMA
322, junk, -, ., =, COMMA, \prime, l, 1, 2, 0
323, junk, ., 1, \log, /, \prime, COMMA, +, \ldots, )
324, junk, -, ., =, COMMA, (, 1, \pm, T, C
325, junk, ., -, \ldots, \lim, \sin, 0, C, 6, f
326, junk, c, z, \log, ., 0, 3, =, E, C
327, junk, \mu, u, 1, ., i, n, x, +, a
328, junk, l, ., r, +, n, -, 1, \prime, COMMA
329, junk, a, ., \alpha, n, \in, d, A, \sin, 2
330, junk, x, ., v, a, r, \sin, n, -, \sqrt
331, junk, o, ., 0, a, ), \lambda, \theta, p, \alpha
332, junk, r, x, n, m, ., \alpha, \times, -, o
333, junk, ., \sqrt, -, r, COMMA, \prime, n, o, /
334, junk, ., COMMA, f, F, -, v, s, t, 1
335, junk, L, ., i, 1, l, 2, +, t, (
336, junk, ., \ldots, COMMA, c, -, \prime, 1, 2, 0
337, c, C, junk, 0, a, ., x, 1, \sum, 2
338, junk, -, u, ., o, =, t, \sqrt, i, r
339, junk, -, ., =, u, t, o, v, i, k
340, t, l, junk, z, 1, h, E, +, 2, f
341, =, junk, -, ., T, 5, I, F, 0, s
342, junk, (, ., i, I, COMMA, [, 5, r, /
343, junk, ., I, \sum, 0, (, COMMA, i, 1, -
344, junk, 0, ., a, 2, v, c, G, h, n
345, junk, \prime, ., 1, COMMA, c, |, 0, (, L
346, junk, ., \prime, +, 0, COMMA, 1, i, n, j
347, junk, 9, 0, ., q, 2, 7, 6, 8, g
348, junk, ., -, 0, \prime, \ldots, a, 1, +, \tan
349, junk, 1, t, ., n, +, \pi, COMMA, x, a
350, junk, i, -, ., COMMA, (, T, \prime, 1, )
351, -, junk, ., =, T, t, i, COMMA, \div, \ldots
352, \tan, junk, a, 2, ., 1, -, L, x, +
353, junk, ., COMMA, -, \prime, c, \ldots, a, C, 0
354, junk, +, n, 1, ., 7, -, 3, 2, /
355, junk, x, \times, X, ., N, \alpha, +, (, a
356, junk, ., \ldots, COMMA, -, m, c, 0, L, =
357, junk, ., COMMA, -, n, (, c, 1, /, \prime
358, junk, c, E, C, ., COMMA, \sum, a, V, e
359, junk, ., -, \sin, +, f, T, 1, \tan, a
360, junk, ., o, 0, \sin, \infty, \pi, 1, n, \sqrt
361, junk, ., (, +, -, \prime, /, COMMA, 1, a
362, junk, ., 1, \lim, \tan, +, (, -, a, \sin
363, junk, ., L, (, x, c, 1, +, \mu, !
364, junk, \ldots, ., -, o, 0, L, C, COMMA, 6
365, junk, ., n, -, v, \mu, 0, c, u, w
366, junk, ., =, 1, d, 0, \div, +, t, o
367, junk, ., +, COMMA, 1, \prime, \pi, \div, a, -
368, junk, n, ., COMMA, m, 0, p, \Delta, r, a
369, junk, -, ., COMMA, u, x, +, 0, y, \gt
370, x, junk, X, \gamma, k, \times, t, p, +, .
371, junk, ., 1, COMMA, /, 0, x, \times, -, +
372, junk, ., T, +, \sin, \prime, \rightarrow, 1, -, 0
373, junk, ., COMMA, 1, (, \mu, r, /, \prime, 0
374, junk, u, \mu, ., 0, -, COMMA, 1, +, /
375, junk, ., /, i, COMMA, 1, (, -, \ldots, N
376, junk, ., \sqrt, 0, COMMA, 1, (, C, =, c
377, junk, ., +, x, -, 6, \alpha, \div, r, z
378, junk, ., a, r, x, +, c, 0, 1, 2
379, junk, ., COMMA, 5, -, \ldots, (, T, t, 1
380, junk, ., n, \mu, a, 0, o, \beta, c, N
381, junk, i, ., (, C, COMMA, a, \lt, c, 6
382, junk, t, ., 1, +, o, p, 0, a, T
383, junk, ., \sqrt, -, \prime, COMMA, \sin, \ldots, +, \rightarrow
384, junk, x, ., COMMA, \mu, \times, o, a, +, \alpha
385, junk, ., 1, \log, n, +, 4, L, 7, 2
386, junk, n, ., r, 0, V, v, COMMA, -, 1
387, junk, ., 0, o, n, ), x, COMMA, c, \tan
388, junk, p, v, ., o, y, n, +, Y, 0
389, junk, ., 0, \prime, COMMA, -, n, 2, 1, a
390, junk, i, ., (, 1, 3, +, COMMA, \prime, s
391, junk, ., n, 0, -, 1, o, /, l, r
392, junk, ., -, n, 0, \ldots, \sqrt, a, \sin, (
393, junk, ., \tan, 0, c, \ldots, COMMA, \sin, \prime, n
394, junk, ., 0, -, t, +, \lt, \prime, 2, \int
395, junk, ., \ldots, -, (, COMMA, +, 1, 6, 0
396, junk, 0, ., -, o, 6, \sin, a, c, C
397, Y, junk, p, y, x, F, ., \gamma, \pi, 2
398, \neq, +, junk, z, T, 7, x, -, 1, \pi
399, junk, ., r, x, n, ), \times, COMMA, \prime, +
400, junk, p, ., +, \prime, (, 1, !, -, r
401, junk, ., +, \prime, 0, 1, (, t, |, -
402, junk, ., o, 0, +, L, ), c, N, (
403, junk, 3, ], ), 7, 2, 0, \prime, COMMA, .
404, junk, a, ., z, 2, 0, \log, G, 1, \sin
405, junk, \tan, ., \infty, \sin, a, 0, \ldots, 1, c
406, junk, G, 0, 6, v, \theta, ., a, u, b
407, junk, ., G, COMMA, k, n, x, a, c, (
408, =, junk, I, ., -, \div, T, 5, F, 1
409, junk, 0, o, a, ., v, c, 1, C, u
410, junk, ., 0, \prime, +, \tan, a, COMMA, (, )
411, -, junk, ., =, o, \sqrt, u, r, COMMA, i
412, junk, n, H, x, u, a, m, y, 1, .
413, junk, ., =, 3, (, -, x, L, /, 2
414, junk, o, ., \sin, 1, 0, \cos, \ldots, x, m
415, junk, ., \gamma, \mu, x, /, +, v, r, n
416, junk, +, t, ., -, f, 1, 7, l, F
417, junk, +, \pi, \log, T, \neq, COMMA, i, 3, .
418, junk, T, \pi, F, ., -, a, 2, 0, t
419, junk, -, ., 0, +, COMMA, 1, T, \prime, \log
420, junk, ., \prime, COMMA, -, \ldots, (, N, /, 1
421, junk, -, ., COMMA, +, \prime, 1, p, T, \div
422, junk, ., +, !, -, n, |, 4, 1, (
423, junk, ., COMMA, (, r, 0, -, o, \prime, /
424, junk, E, ., 3, \prime, S, ), s, k, h
425, junk, ., +, 1, \prime, COMMA, x, -, =, T
426, junk, ., 0, COMMA, c, 2, \ldots, -, v, x
427, junk, ., 1, x, 3, y, s, C, /, COMMA
428, junk, ., \lim, \tan, 0, 2, a, n, +, 1
429, junk, ., a, 2, 0, -, n, m, \lambda, 3
430, junk, \log, \tan, ., \prime, \lim, +, k, n, 1
431, -, junk, =, ., T, \ldots, COMMA, i, 2, m
432, -, junk, =, ., \ldots, T, COMMA, 2, i, t
433, junk, ., \pi, +, a, l, 2, \div, x, \alpha
434, junk, a, +, 1, ., v, 2, L, 3, t
435, junk, ., +, (, \alpha, \div, 2, \tan, \lim, d
436, junk, 3, 0, \gt, ., COMMA, \sum, \prime, 7, 2
437, junk, ., 1, a, +, x, 2, c, (, 0
438, junk, \alpha, ., a, c, e, -, \tan, n, +
439, junk, -, ., u, =, t, o, v, T, \sqrt
440, junk, t, ., c, x, COMMA, \times, +, 7, Y
441, t, z, junk, l, k, A, E, 1, G, h
442, =, junk, 5, -, ., I, T, s, C, 1
443, junk, 0, ., c, 1, -, n, \log, 6, \int
444, junk, L, ., l, i, 1, 2, t, h, (
445, junk, 1, ., \sin, +, p, COMMA, 0, \prime, T
446, junk, 0, -, n, ., 1, COMMA, m, a, p
447, junk, ., \alpha, 2, c, r, COMMA, x, V, C
448, junk, ., 0, COMMA, 1, +, \prime, s, /, (
449, junk, -, ., u, =, t, o, T, v, C
450, 1, junk, 2, ., l, L, z, I, i, x
451, -, junk, ., =, T, t, COMMA, i, \div, \ldots
452, junk, -, ., a, 1, 0, COMMA, k, n, t
453, -, junk, =, ., \ldots, T, COMMA, 2, i, m
454, -, junk, =, ., T, \ldots, COMMA, i, 2, t
455, E, junk, k, F, i, ., c, /, d, N
456, junk, 1, ., t, +, COMMA, /, l, H, L
457, junk, i, ., (, 1, 0, b, j, 2, e
458, t, l, junk, z, E, 1, +, k, x, A
459, junk, \cos, =, ., c, \rightarrow, v, +, m, 0
460, junk, ., \sqrt, p, n, 1, \rightarrow, m, y, T
461, junk, ., 1, COMMA, l, -, 7, c, 6, L
462, junk, ., o, n, 1, 0, \sigma, m, COMMA, \pi
463, junk, ., i, +, 1, 3, 0, j, COMMA, 2
464, junk, ., 3, -, 2, COMMA, n, \prime, +, \sum
465, junk, ., -, COMMA, i, C, c, \ldots, 0, (
466, junk, ., -, \sqrt, \ldots, c, 0, o, C, =
467, junk, ., t, +, 1, (, \prime, L, 2, 0
468, junk, ., L, \ldots, COMMA, c, 1, a, u, )
469, -, junk, ., =, T, t, i, COMMA, \div, \ldots
470, junk, 1, |, COMMA, \prime, +, l, ., (, /
471, junk, 9, ., \div, C, a, \geq, 2, 0, 1
472, junk, r, ., L, v, \mu, 1, \prime, o, COMMA
473, junk, ., COMMA, 1, !, +, Y, /, (, s
474, junk, F, ., C, 5, G, l, +, COMMA, 2
475, junk, +, ., 1, t, \sin, (, ), COMMA, \neq
476, junk, \mu, t, ., 4, 1, u, \tan, a, +
477, junk, ., a, 4, u, n, x, \pi, 1, y
478, r, junk, ., \sqrt, f, 1, !, H, x, p
479, junk, 2, g, \alpha, 1, p, a, t, H, .
